source_id,p,p_er,theta,theta_er,q,q_er,u,u_er,Rmag,exposure,airmass,N0,N1,N2,N3,sN0,sN1,sN2,sN3,bgr0,bgr1,bgr2,bgr3,inner_aperture0,inner_aperture1,inner_aperture2,inner_aperture3,apert0,apert1,apert2,apert3
IT_1626-0143101,0.02059,0.00178,-0.373,0.0434,0.01512,0.00175,-0.01397,0.00181,14.97,429,1.26,440730,427289,467960,453014,1136,1089,1139,1140,1441.5,1286.4,1343.9,1372.2,15.54,15.54,15.88,15.88,3.82,3.82,3.91,3.91
IT_1627-0144719,0.02254,0.00101,-0.4263,0.0225,0.01483,0.00096,-0.01697,0.00105,14.7,660,1.27,1230033,1185379,1252295,1213003,1799,1794,1696,1655,2553.6,2589.7,2653.2,2494.7,17.72,17.72,15.79,15.79,4.36,4.36,3.89,3.89
IT_1629-0138952,0.01263,0.00117,-0.5287,0.0467,0.0062,0.00111,-0.011,0.00119,14.28,296,1.331,806539,786609,807584,795866,1345,1337,1262,1255,1580.8,1577,1584.4,1572.4,16.04,16.04,14.29,14.29,3.47,3.47,3.09,3.09
IT_1628-0142957,0.01218,0.00125,-0.5249,0.0518,0.00606,0.00115,-0.01057,0.00128,14.56,576,1.262,1053752,1028605,1045125,1030241,1893,1890,1698,1686,3491.3,3514.2,3530.1,3477.8,17.07,17.07,14.63,14.63,3.73,3.73,3.2,3.2
IT_1629-0138101,0.01436,0.00213,-0.2585,0.0753,0.01248,0.00211,-0.0071,0.0022,15.1,489,1.402,410412,403405,418619,407393,1283,1254,1217,1245,1310.3,1239,1225.6,1319,19.28,19.28,18.54,18.54,3.89,3.89,3.74,3.74
IT_1625-0143971,0.01503,0.00181,-0.5186,0.0609,0.00764,0.00177,-0.01294,0.00183,15.06,471,1.261,477053,463455,456379,448462,1190,1240,1138,1124,1283.5,1470.5,1399.9,1361.2,17.17,17.17,15.65,15.65,3.68,3.68,3.36,3.36
IT_1611-0128056,0.01963,0.00127,-0.6372,0.0324,0.00573,0.00128,-0.01877,0.00127,11.37,48,1.431,643502,617889,609030,600757,1125,1133,1104,1093,1178.7,1264.1,1236.6,1203.5,14.75,14.75,14.29,14.29,4.03,4.03,3.91,3.91
IT_1627-0145609,0.01555,0.00103,-0.61,0.0332,0.00535,0.00096,-0.01461,0.00104,14.54,564,1.28,1133749,1097776,1124251,1109836,1639,1634,1527,1514,2431.2,2459.5,2472.4,2420.5,16.11,16.11,14.21,14.21,3.66,3.66,3.23,3.23
IT_1617-0134902,0.03272,0.00148,-0.5723,0.0226,0.01353,0.00134,-0.02979,0.0015,13.37,108,1.557,530500,498291,539173,523619,1088,1098,1025,994,1282.8,1385.5,1398.1,1272,14.52,14.52,12.39,12.39,3.73,3.73,3.19,3.19
IT_1627-0144517,0.02452,0.00306,-0.3756,0.0631,0.01792,0.00302,-0.01673,0.00311,14.98,290,1.261,213279,205633,222852,214530,942,899,931,936,960.9,859.5,895.6,918.7,16.84,16.84,17.04,17.04,4.18,4.18,4.23,4.23
IT_1626-0143778,0.01883,0.00233,-0.3905,0.0626,0.01337,0.0023,-0.01326,0.00236,15.66,867,1.261,438611,425840,459344,446231,1458,1434,1489,1462,1408.2,1360.3,1403.2,1350.5,21.44,21.44,21.87,21.87,3.75,3.75,3.82,3.82
IT_1621-0143786,0.00307,0.00197,-0.5581,0.432,0.00135,0.00183,-0.00276,0.002,14.97,429,1.305,424230,420599,414000,411970,1254,1133,1032,1103,1911.1,1434.2,1493.1,1844.2,15.68,15.68,13.48,13.48,4.26,4.26,3.66,3.66
IT_1626-0143720,0.0216,0.00306,-0.6074,0.0719,0.00753,0.00313,-0.02025,0.00305,15.23,372,1.319,282169,270139,279393,274609,1173,1210,1246,1206,878.2,958.6,951,880.9,21.83,21.83,22.53,22.53,3.75,3.75,3.87,3.87
IT_1619-0138981,0.02621,0.00131,-0.4373,0.0249,0.01681,0.00126,-0.02011,0.00134,14.23,213,1.262,663921,635811,659222,636018,1237,1221,1162,1152,1158.6,1142.7,1147.6,1148.6,17.33,17.33,15.69,15.69,3.55,3.55,3.21,3.21
IT_1625-0144222,0.0141,0.0021,-0.619,0.0757,0.0046,0.002,-0.01332,0.00211,14.08,180,1.315946816,522603,507313,495022,489399,1542,1536,1360,1427,2487.1,2482.6,2310.8,2643.9,17.31,17.31,15.47,15.47,3.91,3.91,3.49,3.49
IT_1626-0144301,0.01613,0.00074,-0.5153,0.023,0.00829,0.00069,-0.01383,0.00076,14.65,1346,1.272,2219227,2152166,2238613,2196916,2354,2345,2106,2239,5357.8,5396.8,4662.6,5980.5,15.89,15.89,13.96,13.96,3.77,3.77,3.31,3.31
IT_1624-0143003,0.02413,0.00185,-0.4398,0.0385,0.01538,0.00177,-0.01859,0.00191,15.49,726,1.26,368512,353982,357299,345708,973,977,894,862,949.8,987.4,1012.6,909.8,15.77,15.77,13.49,13.49,3.79,3.79,3.24,3.24
